year,page_url,doc_url,filename,doc_type
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat25.pdf,stat25.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat25.xlsx,stat25.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat26.pdf,stat26.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat26.xlsx,stat26.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat27.pdf,stat27.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/stat27a.pdf,stat27a.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/railstat1.pdf,railstat1.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/railstat1.xlsx,railstat1.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/railstat2.pdf,railstat2.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/railstat2.xlsx,railstat2.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/railstat3.pdf,railstat3.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/railstat3.xlsx,railstat3.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/railstat4.pdf,railstat4.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/railstat4.xlsx,railstat4.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/railstat5.pdf,railstat5.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/railstat5.xlsx,railstat5.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/railstat6.pdf,railstat6.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/railstat6.xlsx,railstat6.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/railstat7.pdf,railstat7.pdf,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/railstat7.xlsx,railstat7.xlsx,demands_for_grants
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/allsbe.pdf,allsbe.pdf,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/allsbe.xls,allsbe.xls,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sumsbe.pdf,sumsbe.pdf,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe1.pdf,sbe1.pdf,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe1.xlsx,sbe1.xlsx,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe2.pdf,sbe2.pdf,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe2.xlsx,sbe2.xlsx,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe3.pdf,sbe3.pdf,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe3.xlsx,sbe3.xlsx,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe4.pdf,sbe4.pdf,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe4.xlsx,sbe4.xlsx,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe5.pdf,sbe5.pdf,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe5.xlsx,sbe5.xlsx,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe6.pdf,sbe6.pdf,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe6.xlsx,sbe6.xlsx,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe7.pdf,sbe7.pdf,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe7.xlsx,sbe7.xlsx,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe8.pdf,sbe8.pdf,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe8.xlsx,sbe8.xlsx,expenditure_budget
2025-2026,https://www.indiabudget.gov.in/budget2025-26/index.php,https://www.indiabudget.gov.in/budget2025-26/doc/eb/sbe9.pdf,sbe9.pdf,expenditure_budget
